Name,MolWeight,SMILES,toxicity_score,NumAtoms,NumHeavyAtoms,NumRotatableBonds,MolFormula
NCGC00178831-03,468.9920000000002,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],1.5383,34,34,0,C27H25ClN6
NCGC00166114-03,691.859,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+],-0.9401000000000006,31,31,2,C20H6Br4Na2O5
NCGC00263563-01,934.1710000000004,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+],3.358400000000012,65,65,13,C47H83NO17
NCGC00013058-02,927.0200000000004,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O,3.584600000000004,68,68,6,C52H54N4O12
NCGC00167516-01,1342.5270000000005,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,-0.4596300000000086,97,97,32,C66H87N17O14
NCGC00018301-05,337.5730000000001,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,5.559100000000006,23,23,12,C20H35NOS
NCGC00249897-01,351.711,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,0.9184199999999998,12,12,1,C7H5HgNO3
NCGC00016000-18,296.5520000000001,CCN(CC)C(=S)SSC(=S)N(CC)CC,3.621200000000002,16,16,4,C10H20N2S4
NCGC00181091-01,419.05300000000017,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl,7.448270000000008,29,29,13,C25H39ClN2O
NCGC00094089-01,568.5610000000003,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,6.1145000000000085,38,38,11,C29H40Cl2FN3O3
NCGC00094996-01,581.7260000000005,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl,5.099880000000004,38,38,19,C26H58Cl2N10
NCGC00263579-01,441.9020000000002,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,2.785400000000001,30,30,6,C22H26ClF2NO4
NCGC00095016-05,365.3440000000001,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,7.003600000000006,24,24,4,C21H26Cl2O
NCGC00095192-05,301.3940000000001,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,2.8145700000000007,22,22,7,C16H23N5O
NCGC00091258-05,223.486,O=C(CCl)c1ccc(Cl)cc1Cl,3.414900000000001,12,12,2,C8H5Cl3O
NCGC00263656-01,584.6590000000006,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,-1.5149999999999972,41,41,4,C29H44O12
NCGC00166121-03,336.402,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.3977000000000004,19,19,13,C17H38BrN
NCGC00257773-01,414.472,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],3.0667000000000018,25,25,15,C22H40BrNO
NCGC00091023-06,384.4459999999999,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.4594000000000014,23,23,15,C21H38BrN
NCGC00091112-09,407.989,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],1.4636000000000002,29,29,4,C25H30ClN3
NCGC00167436-02,582.657,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,4.694500000000003,43,43,9,C33H34N4O6
NCGC00177980-03,492.1460000000002,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,5.770100000000003,30,30,6,C18H14Cl4N4O4
NCGC00179665-04,337.46300000000014,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,4.221000000000004,25,25,0,C22H27NO2
NCGC00344566-01,538.4640000000002,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,6.341300000000006,37,37,6,C23H25F7N4O3
NCGC00015959-09,332.3350000000001,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,3.428100000000001,25,25,0,C20H14NO4+
NCGC00017112-10,268.357,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,1.3791199999999997,19,19,2,C14H24N2O3
NCGC00015747-09,479.5330000000002,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,3.677800000000002,35,35,9,C26H29N3O6
NCGC00167493-04,683.6330000000003,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl,5.796600000000008,47,47,10,C35H40Cl2N4O6
NCGC00273481-01,345.939,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl,5.436800000000005,23,23,2,C20H24ClNS
NCGC00161831-04,414.77700000000016,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,4.869700000000003,27,27,2,C17H17ClF6N2O
NCGC00015889-11,510.0550000000001,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,6.497000000000006,35,35,7,C28H28ClNO4S
NCGC00159424-04,208.377,CN(C)C(=S)SC(=S)N(C)C,1.4126,11,11,0,C6H12N2S3
NCGC00091563-12,240.444,CN(C)C(=S)SSC(=S)N(C)C,2.0608,12,12,0,C6H12N2S4
NCGC00015273-19,318.8730000000001,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.894400000000004,21,21,4,C17H19ClN2S
NCGC00257649-01,458.5810000000002,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.351300000000005,34,34,8,C28H31FN4O
NCGC00262909-01,414.41400000000016,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12,0.1206000000000009,30,30,2,C21H22N2O7
