Name,MolWeight,SMILES
NCGC00178831-03,468.99200000000025,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
NCGC00166114-03,691.8590000000002,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
NCGC00263563-01,934.1709999999999,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+]
NCGC00013058-02,927.0200000000001,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O
NCGC00167516-01,1342.5269999999996,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
NCGC00018301-05,337.5730000000001,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
NCGC00249897-01,351.7110000000001,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2
NCGC00016000-18,296.5520000000001,CCN(CC)C(=S)SSC(=S)N(CC)CC
NCGC00181091-01,419.05300000000017,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl
NCGC00094089-01,568.5610000000004,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
NCGC00094996-01,581.7260000000007,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl
NCGC00263579-01,441.9020000000001,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
NCGC00095016-05,365.34400000000016,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
NCGC00095192-05,301.39400000000006,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
NCGC00091258-05,223.486,O=C(CCl)c1ccc(Cl)cc1Cl
