Name,MolWeight,SMILES,toxicity_score
NCGC00178831-03,468.99200000000025,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],1.5383
NCGC00166114-03,691.8590000000002,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+],-0.9401000000000006
NCGC00263563-01,934.171,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+],3.358400000000012
NCGC00013058-02,927.02,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O,3.5846000000000036
NCGC00167516-01,1342.5269999999996,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,-0.4596300000000086
NCGC00018301-05,337.5730000000001,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,5.559100000000006
NCGC00249897-01,351.7110000000001,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,0.9184199999999998
NCGC00016000-18,296.5520000000001,CCN(CC)C(=S)SSC(=S)N(CC)CC,3.6212000000000026
NCGC00181091-01,419.05300000000017,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl,7.448270000000008
NCGC00094089-01,568.5610000000004,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,6.1145000000000085
NCGC00094996-01,581.7260000000007,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl,5.099880000000004
NCGC00263579-01,441.9020000000001,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,2.785400000000001
NCGC00095016-05,365.34400000000016,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,7.003600000000006
NCGC00095192-05,301.39400000000006,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,2.8145700000000007
NCGC00091258-05,223.486,O=C(CCl)c1ccc(Cl)cc1Cl,3.414900000000001
NCGC00263656-01,584.6590000000004,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,-1.5149999999999972
NCGC00166121-03,336.4019999999999,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.3977000000000004
NCGC00257773-01,414.472,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],3.0667000000000018
NCGC00091023-06,384.446,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.4594000000000014
NCGC00091112-09,407.98900000000015,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],1.4636000000000002
NCGC00167436-02,582.6570000000004,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,4.694500000000003
NCGC00177980-03,492.1460000000002,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,5.770100000000003
NCGC00179665-04,337.4630000000001,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,4.221000000000004
NCGC00344566-01,538.4640000000002,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,6.341300000000006
NCGC00015959-09,332.3350000000001,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,3.4281000000000015
NCGC00017112-10,268.3569999999999,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,1.3791199999999995
NCGC00015747-09,479.5330000000003,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,3.677800000000002
